,title,rating,director,year,runtime,age rating,image link,webpage
82,Singin' in the Rain,8.3,Stanley DonenGene Kelly,1952,1h 43m,U,images\SinginintheRain.jpg,http://www.imdb.com/title/tt0045152/
83,3 Idiots,8.4,Rajkumar Hirani,2009,2h 50m,12A,images\3Idiots.jpg,http://www.imdb.com/title/tt1187043/
84,Requiem for a Dream,8.3,Darren Aronofsky,2000,1h 42m,18,images\RequiemforaDream.jpg,http://www.imdb.com/title/tt0180093/
85,High and Low,8.4,Akira Kurosawa,1963,2h 23m,12,images\HighandLow.jpg,http://www.imdb.com/title/tt0057565/
86,Toy Story 3,8.3,Lee Unkrich,2010,1h 43m,U,images\ToyStory3.jpg,http://www.imdb.com/title/tt0435761/
87,Capernaum,8.4,Nadine Labaki,2018,2h 6m,15,images\Capernaum.jpg,http://www.imdb.com/title/tt8267604/
88,Star Wars: Return of the Jedi,8.3,Richard Marquand,1983,2h 11m,U,images\StarWarsReturnoftheJedi.jpg,http://www.imdb.com/title/tt0086190/
89,2001: A Space Odyssey,8.3,Stanley Kubrick,1968,2h 29m,U,images\2001ASpaceOdyssey.jpg,http://www.imdb.com/title/tt0062622/
90,Eternal Sunshine of the Spotless Mind,8.3,Michel Gondry,2004,1h 48m,15,images\EternalSunshineoftheSpotlessMind.jpg,http://www.imdb.com/title/tt0338013/
91,Come and See,8.4,Elem Klimov,1985,2h 22m,15,images\ComeandSee.jpg,http://www.imdb.com/title/tt0091251/
92,The Hunt,8.3,Thomas Vinterberg,2012,1h 55m,15,images\TheHunt.jpg,http://www.imdb.com/title/tt2106476/
93,Reservoir Dogs,8.3,Quentin Tarantino,1992,1h 39m,18,images\ReservoirDogs.jpg,http://www.imdb.com/title/tt0105236/
94,Lawrence of Arabia,8.3,David Lean,1962,3h 38m,PG,images\LawrenceofArabia.jpg,http://www.imdb.com/title/tt0056172/
95,Citizen Kane,8.3,Orson Welles,1941,1h 59m,A,images\CitizenKane.jpg,http://www.imdb.com/title/tt0033467/
96,M,8.3,Fritz Lang,1931,1h 57m,A,images\M.jpg,http://www.imdb.com/title/tt0022100/
